Herbarium BioBlitz,SCIE 001,,,,,,
10-Sep-19,,,,,,,
Student Name,Payton Mackwood,,,,,,
Student Name,Mickey Ordog,,,,,,
12-Sep-19,,,,,,,
Student Name,,,,,,,
Student Name,,,,,,,
13-Sep-19,,,,,,,
Student Name,,,,,,,
Student Name,,,,,,,
,,,,,,,
Accession Number,X = Inventoried,Genus,Species,Country,Date,Collector,UUID
A27391,,Chordaria,gracilis,United States,1966 Jul 23,R. Hill,AA2D478F-C6DF-1147-94F5-76BF9FBEB6F6
A9546,,Chordaria,gracilis,United States,1960 Jun 09,Tom B. Widdowson,4839A295-5DA7-2F47-A725-79ADB65A56D3
A9144,,Chordaria,gracilis,United States,1960 Jun 25,Tom B. Widdowson,18B44E44-B2D2-9241-93FB-18BE78B759A3
A25561,,Chordaria,gracilis,United States,1966 Jul 03,Jim W. Markham,9F86B897-955A-3440-8141-CF7B8952F2FD
A25560,,Chordaria,gracilis,United States,1966 Jul 04,Jim W. Markham,8840A3A9-4F98-3142-B80E-34A1A0E41870
A25615,,Chordaria,gracilis,United States,1966 Jul 05,Jim W. Markham,4FE0BC75-ACEE-A34D-9035-E9AA45E2A713
A25616,,Chordaria,gracilis,United States,1966 Jul 05,Jim W. Markham,2AD7D1E2-9A76-B845-AFD9-F6A278C38CB5
A25916,,Chordaria,gracilis,United States,1966 Jul 09,Jim W. Markham,F6B15895-D7AC-0E43-B10D-99EDB7773455
A25938,,Chordaria,gracilis,United States,1966 Jul 09,Jim W. Markham,232E6F6A-D2EA-CE43-8D2B-A6E75445B059
A25917,,Chordaria,gracilis,United States,1966 Jul 09,Jim W. Markham,46AE2E28-B92C-764E-AE99-09EE1535DAA4
A26124,,Chordaria,gracilis,United States,1966 Jul 13,Patrick Chamut,EEF8E8B2-40A3-1D4C-B652-7F1E2257489B
A26096,,Chordaria,gracilis,United States,1966 Jul 12,Gordon Robin South,6A3BC96D-70BB-2A4D-A0EA-D5B4BB4EC396
A26395,,Chordaria,gracilis,United States,1966 Jul 14,Patrick Chamut,63A51377-30AB-C546-AF7C-60C4E9A9DB99
A26396,,Chordaria,gracilis,United States,1966 Jul 14,Gordon Robin South,39B87D32-7BC9-7245-828B-5653E9B7F108
A27389,,Chordaria,gracilis,United States,1966 Jul 22,Ken Baillie,0B4BD52F-719D-5346-93FB-152B672C6D8C
A27067,,Chordaria,gracilis,United States,1966 Jul 17,Jim W. Markham,F25DB990-2E98-DC4E-A4C2-606E27E7847A
A26866,,Chordaria,gracilis,United States,1966 Jul 19,Jim W. Markham,1C29E54D-F4FC-FA44-844A-7D4988D61F9F
A27411,,Chordaria,gracilis,United States,1966 Jul 28,Jim W. Markham,2806A357-B39E-F048-9523-D179667712C2
A25135,,Chordaria,gracilis,United States,1966 Jul 02,Jim W. Markham,BCA8DA44-D31E-5846-BF85-C66A43DC4B24
A27567,,Chordaria,gracilis,United States,1966 Jul 28,Jim W. Markham,64B24E9A-CF7D-A444-B9B0-1D9FFB5C7D66
A26854,,Chordaria,gracilis,United States,1966 Jul 19,Jim W. Markham,8FDF1DBA-562A-A147-9978-B63840B24EE1
A26688,,Chordaria,gracilis,United States,1966 Jul 16,Jim W. Markham,BA3CA575-C9C8-A544-A9D9-B77EFB635EDE
A14246,,Chordaria,gracilis,United States,1960 Jun 21,Tom B. Widdowson,BDC4CDA0-75DB-AC4E-95D9-334510D94A34
A9634,,Chordaria,gracilis,United States,1960 Jun 26,Tom B. Widdowson,DC250B2D-7702-1E4C-9083-72A127DFFDE3
A8141,,Chordaria,gracilis,United States,1960 Jun 20,Tom B. Widdowson,624EDFF5-E33E-7C44-9654-296E702B8509
A9721,,Chordaria,gracilis,United States,1960 Jun 26,Tom B. Widdowson,72CB1AFB-4981-4140-928F-CB1AC93018CF
A9827,,Chordaria,gracilis,United States,1960 Jul 13,Tom B. Widdowson,AAFB14FA-6B04-4A4B-8A7F-0F209767688B
A86578,,Chordaria,gracilis,United States,2005 Jun 22,Sandra C. Lindstrom,AC300E6F-7FBD-A846-9D8A-217CD1DF9E5E
A90196,,Chordaria,gracilis,United States,2012 Sep 01,Sandra C. Lindstrom,3222E617-C4AD-D241-A7DC-90B469F398EE
A91183,,Chordaria,gracilis,United States,2009 Aug 09,David Ward,CFD1AB5C-B692-CE48-9AA7-A65A4842B4FE
A45048,,Chordaria,linearis,Chile,1968 Feb 03,Patrick Chamut,E36759C5-F319-9942-8145-3020B6390752
A44358,,Chordaria,linearis,Chile,1970 Feb 03,Jim W. Markham,EF055CF0-2153-4443-A10B-8904A42D1428
A44359,,Chordaria,linearis,Chile,1970 Feb 10,Jim W. Markham,081B3050-66BB-704B-B161-889F4CEA6FCE
A44360,,Chordaria,linearis,Chile,1970 Feb 10,Jim W. Markham,4C874612-EB57-2046-81A5-B8C124F84917
A44361,,Chordaria,magellanica,Chile,1970 Feb 07,Jim W. Markham,7723A540-5B81-8944-81A3-C87DF4EE5050
A44362,,Chordaria,magellanica,Chile,1970 Feb 22,Dr. E. E. Bousfield,6FBFE759-94B6-8E4C-993E-DEC098396601
A6944,,Chrysonephos,lewisii,Australia,1951 Feb 03,A. J. Bernatowicz,CA1274A8-3AF3-5E4C-B86A-6F12DA8C7B65
A69183,,Cladosiphon,filum,Australia,1980 Dec 09,S. A. Shepherd,F5CBEE1C-1FBC-EC44-9817-7160CBB473E5
A84447,,Cladosiphon,filum,Australia,1998 Nov 21,H.B.S. Womersley,44D21A06-39A0-B34D-8BB4-9840AE4E3782
A89365,,Cladosiphon,okamuranus,Japan,2003 Jun 02,T. Kitayama,0F610CAE-4FA0-6D48-8C29-D47F04CD5FD2
A16167,,Cladosiphon,sp.,Australia,1957 Dec 12,Robert F. Scagel,F6530A72-5A22-6949-B8ED-FEB725DFD01D
A59334,,Cladosiphon,vermicularis,Australia,1934 Nov 28,Arthur Nash,A99A909E-2ED0-C442-98BB-8D0482BEFD60
A49599,,Cladosiphon,vermicularis,Australia,1967 Jan 25,H.B.S. Womersley,7415213E-EF0D-124C-8DB2-38F33586F3E8
A59345,,Cladosiphon,vermicularis,Australia,1934 Nov 28,Arthur Nash,83B7B01B-3F2D-DC4D-98B1-5A09A7E26A56
A59346,,Cladosiphon,vermicularis,Australia,1934 Nov 28,Arthur Nash,EEE18E5C-04E2-8941-A37B-C13490FFD74D
A13894,,Cladosiphon,vermicularis,Australia,1957 Feb 05,H.B.S. Womersley,9B110B4B-7461-7648-92C2-9C5288859E6F
A51158,,Cladosiphon,zosterae,Canada,1973 Sep 14,R. Hooper,D3CC4BA9-D229-CB47-BE2D-5FD86A5D85CD
A67396,,Cladosiphon,zosterae,Ireland,1980 Jul 12,C. A. Maggs,58BFC5C7-D676-4749-861D-F4DE9516D8EE
A46351,,Cladostephus,antarcticus,New Zealand,1945 Jun 13,V. W. Lindauer,32DD6F74-E0E7-384B-A56B-B279C887034A
A4673,,Cladostephus,antarcticus,New Zealand,1943 Feb,V. W. Lindauer,58232DB2-7641-C34A-A4C7-4D9D6E7362AD
A59503,,Cladostephus,spongiosus,Australia,1934 Oct,Arthur Nash,BD443932-0F3D-8945-9EA8-029166A69C08
A25557,,Cladostephus,spongiosus,United States,1966 Jun 30,J. R. Stein,F413A854-73A1-C64C-9692-666B056D5791
A37708,,Cladostephus,spongiosus,United States,1967 Jun 21,J. R. Stein,64A731C1-C354-DD41-B849-C574B9776296
A61633,,Cladostephus,spongiosus,Unknown,1973,Miss Mitchell,43259E2B-3807-4C4A-A1D0-BD0F27EA7A18
A36067,,Cladostephus,spongiosus,Spain,1968 Sep 10,Jim W. Markham,96A540B8-FDDF-A748-88D9-823AAF24C54B
A36066,,Cladostephus,spongiosus,Spain,1968 Sep 10,Jim W. Markham,5DB9CE7F-6CEF-EB41-B744-3FA1D57EC58B
A1533,,Cladostephus,spongiosus,Australia,1951 Feb 19,A.B. Cribb,0110DC1F-902F-4D47-AEDC-CA8CDD9C9FA5
A16187,,Cladostephus,spongiosus,Australia,1957 Dec 12,Robert F. Scagel,C3FA82F4-947C-9D4E-8D4E-445113179CDB
A2690,,Cladostephus,spongiosus,Australia,1957 Dec 12,Robert F. Scagel,3D1AEC71-8774-154F-8233-E2771BF7773F
A46352,,Cladostephus,spongiosus,New Zealand,1945 Mar 15,V. W. Lindauer,441FB495-1FA5-D34D-BC00-19EB30ADE1B8
A4855,,Cladostephus,spongiosus,New Zealand,1944 Jul 04,V. W. Lindauer,C635335B-CF86-1D4C-9D08-24B3BCC83A2E
A52687,,Cladostephus,spongiosus,United Kingdom,1968 Jul 24,Peter R. Newroth,BE462479-3786-2749-8D59-6233B14F31C7
A220,,Cladostephus,spongiosus,United States,1936 Jul 06,M. R. Armstrong,06131EB8-745E-8F48-A2A3-30CB0E992003
A44364,,Cladostephus,spongiosus,Chile,1970 Feb 11,Jim W. Markham,DF4CDFB8-BDBA-7E41-ADDA-6BF42D5D0399
A44365,,Cladostephus,spongiosus,Chile,1970 Feb 22,Dr. E. E. Bousfield,DD3F4B15-B934-7C48-BABA-ACD98C0BE453
A44363,,Cladostephus,spongiosus,Chile,1970 Feb 07,Jim W. Markham,175868D6-3C80-0C41-9607-852866D37A10
A6019,,Cladostephus,spongiosus,France,[unknown],J. Chauvin; ex Herb Lenormand,E89D8F34-4EEE-7044-AE51-0F50EDDB99EB
A16075,,Cladostephus,spongiosus,France,1961 Sep 24,Robert F. Scagel,E9CB5474-DF49-D647-ACF4-9D7E051DE5A2
A23807,,Cladostephus,spongiosus,Sweden,1945 Aug 08,Tore Levring,F797E59B-0DBE-FA49-A513-C16DC65EE97A
A52606,,Cladostephus,spongiosus,"England, United Kingdom",1967 Nov 09,Peter R. Newroth,1841ABBE-6184-D943-9A9E-9DCE041A11EB
A55019,,Cladostephus,spongiosus,Netherlands,1975 Jan 14,R. H.,D1F4678F-1B31-904B-8296-12261643F330
A55822,,Cladostephus,spongiosus,New Zealand,1935 Feb 15,Arthur Nash,F3223900-FE36-9D4B-B12F-BC4FF0559FA4
A59386,,Cladostephus,spongiosus,Australia,1912 Oct 15,Josephine E. Tilden,889F3E51-240D-514F-A5D4-C88E66766661
A59540,,Cladostephus,spongiosus,Australia,1935 Jan 04,S. N.,89FCA997-13C5-4D4B-9045-7ABD85C0F229
A59502,,Cladostephus,spongiosus,Australia,1934 Oct,Arthur Nash,8495FF1B-C69A-424A-8D55-20A1092B9ED9
A7892,,Cladostephus,spongiosus,Ireland,1982 Oct 05,M. D. Guiry,8EF9FD2B-6F23-B748-858D-A197818821F4
A82930,,Cladostephus,spongiosus,France,1989,G. B. Feige,851550B7-B206-3D49-BA31-ACC0FA23D4A5
A62568,,Cladostephus,verticillatus,Italy,1980 May,Dr. Tripodi,291EE6C6-3AB1-FD4F-B357-39050F99E007
A26168,,Cladostephus,verticillatus,Tunisia,"July 23, 19174",Delashaw,276DBD47-6B0B-F54B-BAAD-48C06F286C05
A69994,,Cladostephus,verticillatus,United States,1967 Jun 21,J. R. Stein,F14806C2-00DE-AB41-A737-380DC92A9E12
A4582,,Coccophora,langsdorfii,Japan,1936 Jul 06,anonymous,E635163C-49CA-B84A-9231-758D43FEDB97
A30615,,Coccophora,langsdorfii,Japan,1952 Mar 29,Y. Nakamura,42946DB9-4345-104C-BD9A-E22672C0D186
A41033,,Coccophora,langsdorfii,Japan,1952 Mar 29,Y. Nakamura,7E2CC05F-2263-AC45-AC24-2F3169EB276B
A69814,,Coccophora,langsdorfii,Japan,"1987 Apr 14, 17",H. Yasui,0F30E470-C21C-4142-9601-7A5B52C75E4A
A69813,,Coccophora,langsdorfii,Japan,"1987 Apr 14, 17",H. Yasui,AF72049B-1E7F-654E-ABCE-9C7D3AF67A85
A27408,,Coilodesme,bulligera,United States,1966 Jul 23,A. Cattell,9EC34CFF-81F7-9C42-A003-D5DB9CB2EF24
A11738,,Coilodesme,bulligera,United States,1955 Aug 03,Robert F. Scagel,856E2F48-DE65-E84E-A9D1-8391A5584893
A11739,,Coilodesme,bulligera,United States,1955 Aug 03,Robert F. Scagel,8F49BD7D-D249-6A46-A56B-4A3C7B1C3D42
A11706,,Coilodesme,bulligera,United States,1955 Aug 03,Robert F. Scagel,3CF23239-5520-0B47-9C3A-5338A7670005
A39347,,Coilodesme,bulligera,United States,1955 Aug 03,Robert F. Scagel,C2B44695-BDA2-B748-90EE-C39721648B6F
A8512,,Coilodesme,bulligera,United States,1955 Jul 15,Robert F. Scagel,0B644D8D-3723-F54F-AE81-A4FDE8F98CBD
A14366,,Coilodesme,bulligera,United States,1958 Jul 30,Tom B. Widdowson,8B7A636B-D14A-3A4C-8222-634051E96359
A2033,,Coilodesme,bulligera,United States,1949 Jul 07,Robert F. Scagel,056A3F6F-B2BE-CE42-98DC-9178BBA35C50
A222,,Coilodesme,bulligera,United States,1949 Jun 12,Robert F. Scagel,E22FC9D7-F729-F648-8BB5-D9EEBA42D37B
A221,,Coilodesme,bulligera,United States,1949 May 29,Robert F. Scagel,A2927099-6D32-D442-94C5-71A0FCD9D8E9
A4399,,Coilodesme,bulligera,United States,1959 Jul 20,Robert F. Scagel,0F328598-DDA5-7B4D-8944-637A07833F6E
A4400,,Coilodesme,bulligera,United States,1959 Jul 20,Robert F. Scagel,82EF4A8A-DF0D-0546-89C1-9BD41D8BE6CD
A45881,,Coilodesme,bulligera,Canada,1971 Jul 18,R. G. Hooper,980C517E-48D6-2145-B953-3D1E0F2D69EB
A62603,,Coilodesme,bulligera,Canada,1913,anonymous,0C2428CB-6DD3-7D4A-AD24-E08E75E71261
A62604,,Coilodesme,bulligera,Canada,1946 Jul 14,None,9276E649-F1D6-F343-AEF5-AD39107BE6B5
A223,,Coilodesme,bulligera,Canada,1946 Jul 14,Robert F. Scagel,4FDB2263-D948-2045-AE74-3F850CD34877
A42301,,Coilodesme,bulligera,Canada,1969 May 16,Ken Baillie,2B173FB8-E84B-EC46-9A8E-9130255CFDCD
A19877,,Coilodesme,bulligera,Canada,1963 Apr 27,Arthur C. Mathieson,11D4ACB8-061D-6842-9C25-2415528D622E
A5146,,Coilodesme,bulligera,Canada,1958 May 16,Robert F. Scagel,428D7E45-D4DB-7A48-9126-96C969D6ECD4
A14701,,Coilodesme,bulligera,Canada,1957 Aug 23,Tom B. Widdowson,2CE8E83F-C8F6-6D48-B879-B1780AD2ACBD
A10949,,Coilodesme,bulligera,Canada,1959 May 21,Tom B. Widdowson,933A6918-8533-974A-AB4B-20CE81B2E010
A11368,,Coilodesme,bulligera,Canada,1959 May 23,Tom B. Widdowson,A8C61134-D51A-2B4C-BB62-3BE41CBF2614
A11209,,Coilodesme,bulligera,Canada,1959 May 26,Tom B. Widdowson,0555D199-D6C6-134C-9207-DC10EC11953D
A3974,,Coilodesme,bulligera,Canada,1959 May 28,Tom B. Widdowson,90B6A1F4-945F-D34D-AE70-B8D1CF5B0530
A10577,,Coilodesme,bulligera,Canada,1959 May 28,Tom B. Widdowson,945343AD-BE10-0A4F-A2E3-9ADEC8E0E411
A10576,,Coilodesme,bulligera,Canada,1959 May 28,Tom B. Widdowson,255AEAD1-F5B2-6E4E-96DD-F93CB7B80D99
A16190,,Coilodesme,bulligera,Canada,1963 Jun 25,Robert K.S. Lee,CD991991-AA49-6945-B316-534220D26A8D
A18448,,Coilodesme,bulligera,Canada,1964 Jun 08,Louis D. Druehl,9AB089E1-C7A4-004E-AADD-10EAD5F39E6C
A3975,,Coilodesme,bulligera,Canada,1959 May 26,Tom B. Widdowson,BE931010-0036-2449-890D-BF34513E8E9E
A60441,,Coilodesme,bulligera,Canada,1979 Jun 05,Larry T. Golden,25F3C58B-B463-1B42-A34E-A4D167C20E7C
A62373,,Coilodesme,bulligera,Canada,1980 Jun 03,Larry T. Golden,AAA667CD-4993-4E4D-B479-F402C51600B7
A9680,,Coilodesme,bulligera,United States,1960 Jun 22,Tom B. Widdowson,811BBE2D-ED6C-E54F-9C72-AF2800B0E182
A9778,,Coilodesme,bulligera,United States,1960 Jul 11,Tom B. Widdowson,67C17B00-56E0-1D44-9740-D25CD0FE609E
A22458,,Coilodesme,bulligera,United States,1965 Jun 20,Louis D. Druehl,6C4E24C4-C8CE-8842-B203-7E5A3EBFA854
A10582,,Coilodesme,bulligera,United States,1960 Jul 11,Tom B. Widdowson,5AF1DE7C-E1BD-4A42-A949-D36E576A908D
A9137,,Coilodesme,bulligera,United States,1960 Jun 24,Tom B. Widdowson,9F70343C-E7D7-CD44-AEEF-700ED1DAE516
A9151,,Coilodesme,bulligera,United States,1960 Jun 24,Tom B. Widdowson,2ECAF246-D3EE-4546-B8AF-64659437A86C
A21087,,Coilodesme,bulligera,United States,1965 Jun 27,Louis D. Druehl,568C138F-201C-8943-A2B5-A63FE4FD523B
A21042,,Coilodesme,bulligera,United States,1965 Jun 27,Louis D. Druehl,05939947-DFA5-8740-AF9A-B2763DA6D49F
A22500,,Coilodesme,bulligera,United States,1965 Jun 30,Arthur C. Mathieson,BCBCC699-C832-834E-9771-FF3AF9A6782E
A22599,,Coilodesme,bulligera,United States,1965 Jun 30,Arthur C. Mathieson,281ACA51-96B1-8545-9749-C88074382D8F
A23135,,Coilodesme,bulligera,United States,1965 Jul 01,Arthur C. Mathieson,E8F4E01E-20BB-A540-A6C2-E5042DE0D35E
A27848,,Coilodesme,bulligera,United States,1966 Jul 07,Jim W. Markham,C98C6180-0D01-A640-AD70-B5DF3E7FDFEB
A26123,,Coilodesme,bulligera,United States,1966 Jul 12,MJ.W. Markham,60EA0D03-8FBB-2349-ACB6-FC83FEE12F8D
A26668,,Coilodesme,bulligera,United States,1966 Jul 16,MJ.W. Markham,F35C7726-5743-3B46-BFB6-CCF287198EFA
A67623,,Coilodesme,bulligera,United States,1984 Jun 30,Robert F. Scagel,1CAB4389-45FE-6C4F-B8A8-94C211F88B72
A27217,,Coilodesme,bulligera,Canada,1984 Jun 13,Sandra C. Lindstrom,CEEFB376-5193-1147-A8BC-38C31AFA2CEE
A67834,,Coilodesme,bulligera,Canada,1984 Jun 13,Sandra C. Lindstrom,DA9D0664-20CC-8249-8161-F6D8F85E6253
A67952,,Coilodesme,bulligera,United States,1979 Jun 13,Sandra C. Lindstrom,0C33C72A-EA3F-8E46-8619-ED5C3293BF25
A70880,,Coilodesme,bulligera,United States,1985 May 06,Sandra C. Lindstrom,B684D126-6175-744A-ACD8-868000C14F9A
A25055,,Coilodesme,bulligera,United States,1966 Jul 02,Jim W. Markham,A1D28989-74B8-954D-A5A2-167FFF9645E6
A65990,,Coilodesme,bulligera,United States,1974 May 21,Sandra C. Lindstrom,91D144BB-9C06-F744-BF64-3B2B75EF7558
A84991,,Coilodesme,bulligera,United States,3/6/1977,Sandra C. Lindstrom,5C68641D-AA54-BB43-8E92-DD449D335CC8
A85509,,Coilodesme,bulligera,United States,2005 May 23,Susan M. Saupe,7CC53F96-9CFA-7F4D-8EE2-B1C39B93364F
A85994,,Coilodesme,bulligera,United States,2007 Jun 16,Roly Russell,86CA752A-E707-504C-9C9F-E46F1240C715
A86020,,Coilodesme,bulligera,United States,2007 Jun 16,Spencer Wood,1073CF6D-855F-D54B-A664-339C7B197B8B
A86733,,Coilodesme,bulligera,United States,2005 May 22,Sandra C. Lindstrom,9C061C0A-D2C6-E347-8D2C-905AC492478F
A87230,,Coilodesme,bulligera,United States,2006 Jun 13,Roly Russell,3040CE32-ECB7-304D-B05A-CA17CCA4D46E
A87252,,Coilodesme,bulligera,United States,2007 Jun 29,Roly Russell,0419EA11-E7B6-2343-93A6-2316DAE3CB59
A87359,,Coilodesme,bulligera,United States,2008 Jun 07,Sandra C. Lindstrom,53DBCA6A-F14E-D94C-90AD-D50BD17D56D4
A87423,,Coilodesme,bulligera,United States,2008 Jun 05,Sandra C. Lindstrom,AF6DA216-ED06-EA43-A941-AEAE5892E0B1
A88324,,Coilodesme,bulligera,Canada,2009 May 25,Sandra C. Lindstrom,4F7BC123-3538-4044-AEDD-B64D7553D534
A50053,,Coilodesme,bulligera,Canada,1973 Apr 27,Richard D. Hill,B5FEAE58-256A-3C49-8843-F084D5AF357C
A16247,,Coilodesme,bulligera,Canada,1963 Jun 24,Robert K.S. Lee,0C6212BD-42F5-FC45-A56F-FF40C2D5FC27
A16344,,Coilodesme,bulligera,Canada,1963 Jun 24,Robert K.S. Lee,8F562112-4509-CC41-B8E4-A3E86ECA8200
A89866,,Coilodesme,bulligera,Canada,2013 May 27,Katharine R. Hind,69FFFFB2-7110-4240-AE25-5DA570166086
A92480,,Coilodesme,bulligera,United States,1968 Mar 15,Mike J. Wynne,AB1CE274-8B95-B843-85FD-B37EE6B66E94
A80717,,Coilodesme,bulligera,United States,1989 Jul 16,Sandra C. Lindstrom,979F7585-7084-1748-A942-7538858113B0
A92671,,Coilodesme,bulligera,United States,2016 May 21,Sandra C. Lindstrom,997D0268-9A7D-3C4A-9F71-431B78E0011B
A92703,,Coilodesme,bulligera,United States,2016 May 26,Sandra C. Lindstrom,0C51806B-217A-C34A-8055-F939F324C562
A92584,,Coilodesme,bulligera,United States,2016 May 22,Sandra C. Lindstrom,3C313B62-FCE9-2A4C-8A60-1D93DB40EC0B
A92639,,Coilodesme,bulligera,United States,2016 May 25,Sandra C. Lindstrom,AF9B2704-E622-8E4F-8996-9C633FBC7A12
A27565,,Coilodesme,californica,United States,1966 Jul 29,Jim W. Markham,33CAC01D-A9BA-B74E-A485-AFACD44CEC79
A11712,,Coilodesme,californica,United States,1955 Jun 21,Robert F. Scagel,B207AB0E-0471-644F-A1C9-7BB1393EFD50
A39731,,Coilodesme,californica,United States,1955 Jun 21,Robert F. Scagel,4EF20EAF-D8AC-0F48-AEA6-A370345C9DC1
A11710,,Coilodesme,californica,United States,1955 Jun 21,Robert F. Scagel,A1AF901B-3C6A-ED4E-9E6E-5BCE580D257D
A11711,,Coilodesme,californica,United States,1955 Jun 21,Robert F. Scagel,26EA14EB-E528-914D-9FF9-42B9FACC6024
A224,,Coilodesme,californica,United States,1949 May 27,Robert F. Scagel,79E63271-8411-8344-8220-061E870D4D0C
A225,,Coilodesme,californica,United States,1937 Jul 09,M. R. Armstrong,F0334099-A6CA-234B-AB9F-198A01EFFE40
A226,,Coilodesme,californica,United States,1937 Jul 09,M. R. Armstrong,411DDFD7-F035-AD42-A6FC-EDB4D65AD619
A228,,Coilodesme,californica,United States,1916 Aug,N. L. Gardner,3223EF5B-A543-C14B-9DAA-3BCBE23A2322
A47119,,Coilodesme,californica,United States,1969 Jul 16,R. Setzer,2CF7504B-07D6-7A4E-8AA9-D61A87A8B3FA
A61037,,Coilodesme,californica,United States,1979 Aug 08,David J. Garbary,09C4118B-4728-EC44-AFA3-00491A39C1C8
A61038,,Coilodesme,californica,United States,1979 Aug 08,David J. Garbary,9B825B96-D7EB-0346-AED0-A5A97946A4C1
A61102,,Coilodesme,californica,United States,1979 Aug 08,David J. Garbary,EC8EBB1D-0D26-2145-930C-59C3AA280F81
A62100,,Coilodesme,californica,United States,1979 Aug 08,E. Henry,9F26D097-3744-424B-9074-16091C0D05F9
A62099,,Coilodesme,californica,United States,1979 Aug 08,E. Henry,4B0783FE-1102-7948-99B6-90FAC75BAE42
A24463,,Coilodesme,californica,United States,1966 Jun 09,Jim W. Markham,19C4765E-205E-7E45-B34E-D48BE5C4DBDC
A2317,,Coilodesme,californica,Canada,1953 Jun 29,Robert F. Scagel,9E36C173-97DC-534B-BFF9-70F833C82B1B
A47021,,Coilodesme,californica,Canada,1972 Jun 12,Jim Fralick,ED85FABE-F9F4-8840-B954-89E0B48CCF71
A33676,,Coilodesme,californica,Canada,1968 Jun 10,Patrick Chamut,A8917264-E3A5-BC41-AF91-474413F27E1D
A33110,,Coilodesme,californica,Canada,1968 May 13,Patrick Chamut,990D61A4-E7BE-BC41-8A26-3E886D1B82D3
A45504,,Coilodesme,californica,Canada,1971 May 12,Julie L. Celestino,729D3EF8-7C5F-3649-8741-A013EB342A06
A15753,,Coilodesme,californica,Canada,1962 Jul 04,Robert K.S. Lee,678655CA-0637-A84E-AED1-FD75D0EE1B4F
A17109,,Coilodesme,californica,Canada,1962 Jul 05,Tom B. Widdowson,44AA1F60-1509-4D46-AF95-00D0438A9709
A227,,Coilodesme,californica,Canada,1917 Jun,N. L. Gardner,CB0AF048-9186-6C4D-BF3A-8F90AF04CE94
A17213,,Coilodesme,californica,Canada,1962 Jul 01,Tom B. Widdowson,731866A1-65FE-FF4D-8D66-DE6F580EA021
A61430,,Coilodesme,californica,United States,1977 Jun 18,Sandra C. Lindstrom,6B5029C7-138A-A348-BB5A-E013CF0BEFA3
A61416,,Coilodesme,californica,United States,1977 Jun 20,Sandra C. Lindstrom,095BD30E-9D43-E54A-8E88-C89DD9873566
A9153,,Coilodesme,californica,United States,1960 Jun 08,Tom B. Widdowson,D9C99423-A86C-204B-B336-97AA8540993D
A20835,,Coilodesme,californica,United States,1965 Jun 14,Arthur C. Mathieson,5FE6B800-43DC-FC4E-A411-2E95488C5CA2
A20272,,Coilodesme,californica,United States,1965 Jun 14,G. Robinson,47EAC140-8ACE-E441-88C2-31A6152F0B86
A20849,,Coilodesme,californica,United States,1965 Jun 14,Arthur C. Mathieson,9109ED28-6D33-0C4C-9E4D-012C3F3768EF
A20762,,Coilodesme,californica,United States,1965 Jun 18,Jim W. Markham,B8A43A80-A290-0E45-8131-63302C1DDF70
A23636,,Coilodesme,californica,United States,1965 Jun 30,Arthur C. Mathieson,6B944448-764B-3E4C-BD0F-4D6823AE3F11
A23136,,Coilodesme,californica,United States,1965 Jun 30,Arthur C. Mathieson,9D13D9FF-BA1F-2B4D-B245-7AD81EEF785A
A26378,,Coilodesme,californica,United States,1966 Jul 14,Patrick Chamut,A07BDEDA-9DDE-EA47-8E3D-6D8EBAD73725
A70431,,Coilodesme,californica,Canada,1987 Jul 12,Paul W. Gabrielson,6299B028-E267-D44B-97A7-D10E168B4FA0
A69526,,Coilodesme,californica,Canada,1987 Jul 12,Sandra C. Lindstrom,765306DC-C99B-FF4D-99A8-B254981699B4
A66885,,Coilodesme,californica,Canada,1982 May 11,Terry Klinger,AF21B058-8E28-EE4B-9837-71431C23F277
A66884,,Coilodesme,californica,Canada,1982 May 11,Terry Klinger,53AEDBCD-97EE-5947-8671-28A239A2FD6B
A85894,,Coilodesme,californica,United States,2004 Jun 09,Spencer Wood,FA41708F-07B2-2441-B701-B1B765C199AE
A86817,,Coilodesme,californica,United States,2005 May 25,Sandra C. Lindstrom,9CFC12B1-A335-124E-A74E-978DF992390F
A57033,,Coilodesme,californica,Canada,1953 Jul 29,Robert F. Scagel,ACB4CEB0-F9D9-7646-A9E3-DA0DE78715E5
A57032,,Coilodesme,californica,Canada,1953 Jul 29,Robert F. Scagel,F37C9938-95DB-5946-9C25-BF79303CF4ED
A57035,,Coilodesme,californica,Canada,1953 Jul 29,Robert F. Scagel,919F0FEA-C4EC-4548-A0D9-2C55CD4F66AD
A57034,,Coilodesme,californica,Canada,1953 Jul 29,Robert F. Scagel,E94E66AD-F033-1242-9741-20AE4B5D723D
A89947,,Coilodesme,californica,Canada,2012 May 06,Sandra C. Lindstrom,664CC07B-CC61-E549-8AFF-1C75E76C0B37
A80573,,Coilodesme,californica,United States,1989 Aug 01,Sandra C. Lindstrom,4B6DA1C3-01C6-6A40-8975-0BDFAB789E33
A92714,,Coilodesme,californica,United States,2016 May 27,Sandra C. Lindstrom,0C74F529-AA97-3E41-8B65-4A4C97C27231
A92562,,Coilodesme,californica,United States,2016 May 22,Sandra C. Lindstrom,0F59E8D9-76EE-6D4D-96FC-753DAAE19E85
A92581,,Coilodesme,californica,United States,2016 May 22,Sandra C. Lindstrom,6A14DE46-9724-8448-BFE4-53B88148288F
A25924,,Coilodesme,cystoseirae,United States,1966 Jul 09,Jim W. Markham,6DF7C7AD-371C-6044-B1CC-10F6A2499D53
